textbox22,Textbox9
generated on 05/03/2020 12:50:21 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Germany,European Region of WHO,South West Europe,2017,1,2017-01-02,2017-01-08,,187,0,1,56,,0,57,0,0,0,0,57,,No Report
Germany,European Region of WHO,South West Europe,2017,2,2017-01-09,2017-01-15,,233,0,0,87,,0,87,1,0,0,1,88,,No Report
Germany,European Region of WHO,South West Europe,2017,3,2017-01-16,2017-01-22,,299,0,2,149,,0,151,0,0,0,0,151,,No Report
Germany,European Region of WHO,South West Europe,2017,4,2017-01-23,2017-01-29,,347,0,4,175,,0,179,3,0,0,3,182,,No Report
Germany,European Region of WHO,South West Europe,2017,5,2017-01-30,2017-02-05,,360,0,0,197,,0,197,3,1,0,4,201,,No Report
Germany,European Region of WHO,South West Europe,2017,6,2017-02-06,2017-02-12,,381,0,0,200,,0,200,3,0,0,3,203,,No Report
Germany,European Region of WHO,South West Europe,2017,7,2017-02-13,2017-02-19,,353,0,2,168,,0,170,10,3,0,13,183,,No Report
Germany,European Region of WHO,South West Europe,2017,8,2017-02-20,2017-02-26,,297,0,0,111,,0,111,9,1,0,10,121,,No Report
Germany,European Region of WHO,South West Europe,2017,9,2017-02-27,2017-03-05,,207,0,1,62,,0,63,1,0,0,1,64,,No Report
Germany,European Region of WHO,South West Europe,2017,10,2017-03-06,2017-03-12,,192,0,0,34,,0,34,7,1,0,8,42,,No Report
Germany,European Region of WHO,South West Europe,2017,11,2017-03-13,2017-03-19,,150,0,0,11,,0,11,13,3,0,16,27,,No Report
Germany,European Region of WHO,South West Europe,2017,12,2017-03-20,2017-03-26,,113,0,0,9,,0,9,7,0,0,7,16,,No Report
Germany,European Region of WHO,South West Europe,2017,13,2017-03-27,2017-04-02,,84,0,0,1,,0,1,4,1,0,5,6,,No Report
Germany,European Region of WHO,South West Europe,2017,14,2017-04-03,2017-04-09,,90,0,2,5,,0,7,8,1,0,9,16,,No Report
Germany,European Region of WHO,South West Europe,2017,15,2017-04-10,2017-04-16,,48,0,2,1,,0,3,0,0,0,0,3,,No Report
Germany,European Region of WHO,South West Europe,2017,16,2017-04-17,2017-04-23,,31,0,0,1,,0,1,0,1,0,1,2,,No Report
