Kategorie: Alle Kategorien

Land,corona: (04.02.20 bis 04.03.20)
Eritrea,
Italien,100
San Marino,
Vietnam,92
Deutschland,87
Vanuatu,
Liechtenstein,
Niederlande,67
Ålandinseln,
Schweiz,66
Bahrain,
Österreich,64
Palau,
Singapur,58
Montserrat,
Seychellen,
Schweden,55
Falklandinseln (Malwinen),
Malta,
Libanon,48
Salomonen,
Papua-Neuguinea,
Nördliche Marianen,
Eswatini,
Färöer,
Dänemark,41
Bhutan,
Indonesien,41
Kuwait,41
Simbabwe,
Gibraltar,
Malediven,
Vereinigte Arabische Emirate,37
Norwegen,37
Brunei Darussalam,
"Bonaire, Sint Eustatius und Saba",
Irland,37
Guam,
Luxemburg,
Äthiopien,
Liberia,
Mikronesien,
Türkei,33
Katar,33
Island,
Sint Maarten,
Nepal,
Kenia,32
Guernsey,
Jersey,
Grönland,
Mauritius,
Fidschi,
Spitzbergen und Jan Mayen,
Cabo Verde,
Belgien,30
Timor-Leste,
Tonga,
Gambia,
Uganda,
Aruba,
Äquatorialguinea,
Nordmazedonien,
Botsuana,
Curaçao,
Bermuda,
St. Martin,
Neuseeland,28
Australien,28
Kaimaninseln,
St. Lucia,
Amerikanisch-Samoa,
Südafrika,26
Zentralafrikanische Republik,
St. Helena,
Malawi,
Portugal,26
Isle of Man,
São Tomé und Príncipe,
Nigeria,26
Sri Lanka,26
Kuba,
Belize,
Namibia,
Komoren,
Kroatien,25
Vereinigtes Königreich,25
Tansania,
Sierra Leone,
Oman,
Dominica,
Cookinseln,
Britische Jungferninseln,
Litauen,21
Lesotho,
Zypern,
St. Vincent und die Grenadinen,
Slowenien,
China,
Tunesien,
Andorra,
Marshallinseln,
Kanada,21
Vereinigte Staaten,21
St. Kitts und Nevis,
Barbados,
St. Pierre und Miquelon,
Afghanistan,
Turks- und Caicosinseln,
Israel,19
Malaysia,19
Rumänien,19
Philippinen,19
Madagaskar,
Chile,17
Südkorea,17
Kambodscha,
Panama,
Estland,
Grenada,
Mongolei,
Finnland,17
Samoa,
Pakistan,17
Bolivien,
Jamaika,
Laos,
Ghana,
Brasilien,16
Bahamas,
Antigua und Barbuda,
St. Barthélemy,
Mosambik,
Niger,
Marokko,16
Sambia,
Dominikanische Republik,16
Trinidad und Tobago,
Albanien,
Burundi,
Spanien,14
Ruanda,
Suriname,
Amerikanische Jungferninseln,
Indien,14
Tschad,
Nicaragua,
Kongo-Brazzaville,
Frankreich,14
Bosnien und Herzegowina,
Südsudan,
Haiti,
Montenegro,
Lettland,
Kongo-Kinshasa,
Paraguay,
Ecuador,12
Dschibuti,
Togo,
Myanmar,
Kamerun,
Turkmenistan,
Angola,
Kosovo,
Macau,
Venezuela,12
Kolumbien,10
Aserbaidschan,
Serbien,10
Puerto Rico,
Irak,
Hongkong,10
Slowakei,
Französisch-Polynesien,
Französisch-Guayana,
Guatemala,
Peru,10
Bangladesch,10
Guyana,
Jordanien,
Gabun,
Costa Rica,
Réunion,
Senegal,
Mexiko,8
Algerien,
Uruguay,
Tschechien,8
Argentinien,8
Georgien,
Martinique,
Somalia,
Honduras,
Guadeloupe,
El Salvador,
Palästina,
Neukaledonien,
Mayotte,
Burkina Faso,
Guinea,
Saudi-Arabien,7
Benin,
Guinea-Bissau,
Mauretanien,
Côte d’Ivoire,
Mali,
Ungarn,7
Thailand,7
Bulgarien,
Iran,7
Republik Moldau,
Griechenland,
Westsahara,
Ägypten,5
Armenien,
Taiwan,3
Libyen,
Sudan,
Japan,1
Syrien,
Polen,1
Jemen,
Usbekistan,
Tadschikistan,
Kirgisistan,
Russland,
Kasachstan,
Ukraine,
Belarus,
Nauru,
Anguilla,
Antarktis,
Französische Süd- und Antarktisgebiete,
Bouvetinsel,
Kokosinseln,
Weihnachtsinsel,
Heard und McDonaldinseln,
Britisches Territorium im Indischen Ozean,
Kiribati,
Monaco,
Norfolkinsel,
Niue,
Pitcairninseln,
Nordkorea,
Südgeorgien und die Südlichen Sandwichinseln,
Tokelau,
Tuvalu,
Amerikanische Überseeinseln,
Vatikanstadt,
Wallis und Futuna,
